# BUSCO version is: 5.4.4 
# The lineage dataset is: arthropoda_odb10 (Creation date: 2020-09-10, number of genomes: 90, number of BUSCOs: 1013)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
6715at6656	Complete	TRINITY_DN20537_c0_g2_i1:113-3817	1573.1	1017	https://www.orthodb.org/v10?query=6715at6656	cullin-associated NEDD8-dissociated protein 1
6820at6656	Complete	TRINITY_DN234344_c0_g2_i1:209-3850	1820.8	1021	https://www.orthodb.org/v10?query=6820at6656	splicing factor 3B subunit 3
7210at6656	Fragmented	TRINITY_DN9449_c0_g2_i3:1-2004	208.5	220	https://www.orthodb.org/v10?query=7210at6656	Transmembrane protein 132
8145at6656	Duplicated	TRINITY_DN4760_c0_g1_i2:72-3458	848.5	908	https://www.orthodb.org/v10?query=8145at6656	WASH complex subunit 7
8145at6656	Duplicated	TRINITY_DN4760_c0_g1_i3:44-2110	784.3	577	https://www.orthodb.org/v10?query=8145at6656	WASH complex subunit 7
8495at6656	Duplicated	TRINITY_DN76348_c0_g1_i1:214-3894	937.7	921	https://www.orthodb.org/v10?query=8495at6656	Elongator complex protein 1
8495at6656	Duplicated	TRINITY_DN76348_c0_g1_i4:214-3894	938.2	910	https://www.orthodb.org/v10?query=8495at6656	Elongator complex protein 1
8847at6656	Duplicated	TRINITY_DN4424_c0_g1_i3:84-6080	1310.0	1077	https://www.orthodb.org/v10?query=8847at6656	Sec7 domain
8847at6656	Duplicated	TRINITY_DN4424_c0_g1_i4:84-5153	1308.6	1076	https://www.orthodb.org/v10?query=8847at6656	Sec7 domain
8847at6656	Duplicated	TRINITY_DN4424_c0_g1_i5:84-4682	1155.5	958	https://www.orthodb.org/v10?query=8847at6656	Sec7 domain
8913at6656	Duplicated	TRINITY_DN4238_c0_g1_i11:397-3939	1067.7	711	https://www.orthodb.org/v10?query=8913at6656	Ras guanine-nucleotide exchange factor catalytic domain superfamily
8913at6656	Duplicated	TRINITY_DN4238_c0_g1_i7:551-4192	1067.3	711	https://www.orthodb.org/v10?query=8913at6656	Ras guanine-nucleotide exchange factor catalytic domain superfamily
9647at6656	Fragmented	TRINITY_DN53404_c0_g2_i2:11-1021	234.7	264	https://www.orthodb.org/v10?query=9647at6656	integrator complex subunit 1
9648at6656	Duplicated	TRINITY_DN4227_c0_g1_i2:13-1818	767.2	478	https://www.orthodb.org/v10?query=9648at6656	anaphase-promoting complex subunit 1
9648at6656	Duplicated	TRINITY_DN4227_c0_g1_i3:13-1818	767.2	478	https://www.orthodb.org/v10?query=9648at6656	anaphase-promoting complex subunit 1
9648at6656	Duplicated	TRINITY_DN4227_c0_g1_i4:13-1818	767.2	478	https://www.orthodb.org/v10?query=9648at6656	anaphase-promoting complex subunit 1
10240at6656	Duplicated	TRINITY_DN26619_c0_g1_i1:232-4203	766.4	792	https://www.orthodb.org/v10?query=10240at6656	type I inositol 3,4-bisphosphate 4-phosphatase isoform X1
10240at6656	Duplicated	TRINITY_DN26619_c0_g1_i4:87-4058	766.4	792	https://www.orthodb.org/v10?query=10240at6656	type I inositol 3,4-bisphosphate 4-phosphatase isoform X1
10240at6656	Duplicated	TRINITY_DN26619_c0_g1_i5:87-4124	766.2	792	https://www.orthodb.org/v10?query=10240at6656	type I inositol 3,4-bisphosphate 4-phosphatase isoform X1
10240at6656	Duplicated	TRINITY_DN26619_c0_g1_i8:232-4269	766.2	792	https://www.orthodb.org/v10?query=10240at6656	type I inositol 3,4-bisphosphate 4-phosphatase isoform X1
10240at6656	Duplicated	TRINITY_DN26619_c0_g1_i9:177-4148	766.4	792	https://www.orthodb.org/v10?query=10240at6656	type I inositol 3,4-bisphosphate 4-phosphatase isoform X1
10573at6656	Complete	TRINITY_DN22798_c0_g1_i6:14-2464	401.9	607	https://www.orthodb.org/v10?query=10573at6656	EGF-like calcium-binding, conserved site
11384at6656	Complete	TRINITY_DN4661_c0_g1_i26:0-2942	1171.6	813	https://www.orthodb.org/v10?query=11384at6656	disheveled-associated activator of morphogenesis 1 isoform X1
12029at6656	Duplicated	TRINITY_DN671_c0_g1_i1:63-3053	1281.2	841	https://www.orthodb.org/v10?query=12029at6656	FACT complex subunit spt16
12029at6656	Duplicated	TRINITY_DN671_c0_g1_i2:63-3053	1281.2	841	https://www.orthodb.org/v10?query=12029at6656	FACT complex subunit spt16
12029at6656	Duplicated	TRINITY_DN671_c0_g1_i3:63-3053	1281.2	841	https://www.orthodb.org/v10?query=12029at6656	FACT complex subunit spt16
12174at6656	Complete	TRINITY_DN7818_c0_g2_i4:37-3999	1048.2	853	https://www.orthodb.org/v10?query=12174at6656	Mediator of RNA polymerase II transcription subunit 13
12383at6656	Complete	TRINITY_DN12111_c0_g1_i1:175-2517	983.7	547	https://www.orthodb.org/v10?query=12383at6656	DNA excision repair protein haywire
12771at6656	Complete	TRINITY_DN22871_c0_g1_i1:85-2958	724.0	739	https://www.orthodb.org/v10?query=12771at6656	vacuolar protein sorting-associated protein 18 homolog
12846at6656	Complete	TRINITY_DN569_c0_g1_i1:0-2363	608.1	474	https://www.orthodb.org/v10?query=12846at6656	Rab-GTPase-TBC domain
13019at6656	Duplicated	TRINITY_DN13155_c0_g1_i10:0-1676	628.5	437	https://www.orthodb.org/v10?query=13019at6656	WD40-repeat-containing domain
13019at6656	Duplicated	TRINITY_DN13155_c0_g1_i2:166-3213	626.0	393	https://www.orthodb.org/v10?query=13019at6656	WD40-repeat-containing domain
13019at6656	Duplicated	TRINITY_DN13155_c0_g1_i3:166-3000	626.4	393	https://www.orthodb.org/v10?query=13019at6656	WD40-repeat-containing domain
13019at6656	Duplicated	TRINITY_DN13155_c0_g1_i5:166-2988	633.5	395	https://www.orthodb.org/v10?query=13019at6656	WD40-repeat-containing domain
13019at6656	Duplicated	TRINITY_DN13155_c0_g1_i8:166-3201	633.1	395	https://www.orthodb.org/v10?query=13019at6656	WD40-repeat-containing domain
13051at6656	Missing
13736at6656	Complete	TRINITY_DN9339_c0_g1_i1:113-3376	1669.2	843	https://www.orthodb.org/v10?query=13736at6656	regulator of nonsense transcripts 1
13833at6656	Complete	TRINITY_DN8560_c0_g1_i1:227-2485	508.8	510	https://www.orthodb.org/v10?query=13833at6656	tetratricopeptide repeat protein 27
13858at6656	Complete	TRINITY_DN6958_c0_g1_i1:43-2733	983.8	708	https://www.orthodb.org/v10?query=13858at6656	WD40-repeat-containing domain
13890at6656	Duplicated	TRINITY_DN4230_c0_g1_i3:81-2526	620.3	538	https://www.orthodb.org/v10?query=13890at6656	ubiquitin carboxyl-terminal hydrolase 20
13890at6656	Duplicated	TRINITY_DN4230_c0_g1_i5:96-2744	704.9	572	https://www.orthodb.org/v10?query=13890at6656	ubiquitin carboxyl-terminal hydrolase 20
13890at6656	Duplicated	TRINITY_DN4230_c0_g1_i6:107-2464	670.7	517	https://www.orthodb.org/v10?query=13890at6656	ubiquitin carboxyl-terminal hydrolase 20
13934at6656	Complete	TRINITY_DN20450_c0_g1_i2:112-2928	1035.4	714	https://www.orthodb.org/v10?query=13934at6656	periodic tryptophan protein 2 homolog
14090at6656	Duplicated	TRINITY_DN4690_c0_g2_i1:1-2865	857.0	718	https://www.orthodb.org/v10?query=14090at6656	protein unc-45 homolog B
14090at6656	Duplicated	TRINITY_DN4690_c0_g2_i2:1-2865	857.0	718	https://www.orthodb.org/v10?query=14090at6656	protein unc-45 homolog B
14257at6656	Duplicated	TRINITY_DN4120_c0_g1_i1:190-3484	740.9	882	https://www.orthodb.org/v10?query=14257at6656	Golgi apparatus protein 1
14257at6656	Duplicated	TRINITY_DN4120_c0_g1_i3:124-3483	739.5	874	https://www.orthodb.org/v10?query=14257at6656	Golgi apparatus protein 1
14447at6656	Duplicated	TRINITY_DN8356_c0_g1_i4:80-3712	495.0	579	https://www.orthodb.org/v10?query=14447at6656	protein kibra
14447at6656	Duplicated	TRINITY_DN8356_c0_g1_i5:45-3245	478.4	551	https://www.orthodb.org/v10?query=14447at6656	protein kibra
14995at6656	Duplicated	TRINITY_DN159611_c0_g1_i1:36-3305	724.4	732	https://www.orthodb.org/v10?query=14995at6656	protein brunelleschi
14995at6656	Duplicated	TRINITY_DN159611_c0_g1_i3:36-3302	725.6	732	https://www.orthodb.org/v10?query=14995at6656	protein brunelleschi
15200at6656	Complete	TRINITY_DN194082_c0_g1_i1:103-3330	1476.3	873	https://www.orthodb.org/v10?query=15200at6656	exportin-1
15697at6656	Duplicated	TRINITY_DN5729_c0_g1_i1:1-2454	972.9	594	https://www.orthodb.org/v10?query=15697at6656	protein CLEC16A isoform X1
15697at6656	Duplicated	TRINITY_DN5729_c0_g1_i2:168-2777	1056.6	641	https://www.orthodb.org/v10?query=15697at6656	protein CLEC16A isoform X1
15697at6656	Duplicated	TRINITY_DN5729_c0_g1_i4:187-2796	1056.6	641	https://www.orthodb.org/v10?query=15697at6656	protein CLEC16A isoform X1
15697at6656	Duplicated	TRINITY_DN5729_c0_g1_i5:168-2777	1056.6	641	https://www.orthodb.org/v10?query=15697at6656	protein CLEC16A isoform X1
15697at6656	Duplicated	TRINITY_DN5729_c0_g1_i7:112-2589	967.8	598	https://www.orthodb.org/v10?query=15697at6656	protein CLEC16A isoform X1
15905at6656	Duplicated	TRINITY_DN27331_c1_g1_i1:72-2666	239.3	162	https://www.orthodb.org/v10?query=15905at6656	polyphosphoinositide phosphatase
15905at6656	Duplicated	TRINITY_DN27331_c1_g1_i5:72-2666	239.3	162	https://www.orthodb.org/v10?query=15905at6656	polyphosphoinositide phosphatase
15905at6656	Duplicated	TRINITY_DN27331_c1_g1_i6:3-2332	240.2	162	https://www.orthodb.org/v10?query=15905at6656	polyphosphoinositide phosphatase
15905at6656	Duplicated	TRINITY_DN27331_c1_g1_i7:72-1910	240.6	162	https://www.orthodb.org/v10?query=15905at6656	polyphosphoinositide phosphatase
16061at6656	Duplicated	TRINITY_DN11509_c0_g1_i1:1-2658	855.2	646	https://www.orthodb.org/v10?query=16061at6656	DNA-directed RNA polymerase
16061at6656	Duplicated	TRINITY_DN11509_c0_g1_i2:1-2658	855.9	646	https://www.orthodb.org/v10?query=16061at6656	DNA-directed RNA polymerase
16061at6656	Duplicated	TRINITY_DN11509_c0_g1_i4:1-2658	856.1	646	https://www.orthodb.org/v10?query=16061at6656	DNA-directed RNA polymerase
16084at6656	Complete	TRINITY_DN30208_c0_g1_i1:164-3655	977.0	809	https://www.orthodb.org/v10?query=16084at6656	integrator complex subunit 2
16220at6656	Duplicated	TRINITY_DN8211_c0_g1_i1:99-3620	1547.8	925	https://www.orthodb.org/v10?query=16220at6656	leucine--tRNA ligase, cytoplasmic
16220at6656	Duplicated	TRINITY_DN8211_c0_g1_i2:99-3620	1547.8	925	https://www.orthodb.org/v10?query=16220at6656	leucine--tRNA ligase, cytoplasmic
16220at6656	Duplicated	TRINITY_DN8211_c0_g1_i3:109-3420	1436.7	865	https://www.orthodb.org/v10?query=16220at6656	leucine--tRNA ligase, cytoplasmic
16630at6656	Duplicated	TRINITY_DN3949_c0_g1_i1:43-3567	1063.8	861	https://www.orthodb.org/v10?query=16630at6656	symplekin
16630at6656	Duplicated	TRINITY_DN3949_c0_g1_i3:43-4223	1065.0	863	https://www.orthodb.org/v10?query=16630at6656	symplekin
16630at6656	Duplicated	TRINITY_DN3949_c0_g1_i8:43-4223	1065.0	863	https://www.orthodb.org/v10?query=16630at6656	symplekin
16630at6656	Duplicated	TRINITY_DN3949_c0_g1_i9:43-3567	1063.8	861	https://www.orthodb.org/v10?query=16630at6656	symplekin
16648at6656	Duplicated	TRINITY_DN3396_c0_g1_i3:108-2081	362.1	363	https://www.orthodb.org/v10?query=16648at6656	NHL repeat-containing protein 2
16648at6656	Duplicated	TRINITY_DN3396_c0_g1_i5:108-2084	371.4	363	https://www.orthodb.org/v10?query=16648at6656	NHL repeat-containing protein 2
17096at6656	Duplicated	TRINITY_DN239_c1_g1_i1:1-2343	790.0	592	https://www.orthodb.org/v10?query=17096at6656	E3 ubiquitin-protein ligase MARCH6
17096at6656	Duplicated	TRINITY_DN239_c1_g1_i2:1-2382	780.5	604	https://www.orthodb.org/v10?query=17096at6656	E3 ubiquitin-protein ligase MARCH6
17096at6656	Duplicated	TRINITY_DN239_c1_g1_i5:1-2343	790.0	592	https://www.orthodb.org/v10?query=17096at6656	E3 ubiquitin-protein ligase MARCH6
17122at6656	Duplicated	TRINITY_DN1269_c0_g1_i1:2-3295	604.5	685	https://www.orthodb.org/v10?query=17122at6656	mediator of RNA polymerase II transcription subunit 14
17122at6656	Duplicated	TRINITY_DN1269_c0_g1_i2:2-3295	604.5	685	https://www.orthodb.org/v10?query=17122at6656	mediator of RNA polymerase II transcription subunit 14
17128at6656	Duplicated	TRINITY_DN1797_c0_g1_i11:205-2821	623.3	489	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17128at6656	Duplicated	TRINITY_DN1797_c0_g1_i12:185-3233	630.5	558	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17128at6656	Duplicated	TRINITY_DN1797_c0_g1_i13:205-3253	630.5	558	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17128at6656	Duplicated	TRINITY_DN1797_c0_g1_i15:185-2929	636.6	558	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17128at6656	Duplicated	TRINITY_DN1797_c0_g1_i16:205-2862	630.0	557	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17128at6656	Duplicated	TRINITY_DN1797_c0_g1_i17:205-3530	636.6	558	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17128at6656	Duplicated	TRINITY_DN1797_c0_g1_i18:205-2814	621.8	558	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17128at6656	Duplicated	TRINITY_DN1797_c0_g1_i2:205-2949	636.6	558	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17128at6656	Duplicated	TRINITY_DN1797_c0_g1_i5:185-2797	622.5	551	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17128at6656	Duplicated	TRINITY_DN1797_c0_g1_i6:153-2897	636.6	558	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17128at6656	Duplicated	TRINITY_DN1797_c0_g1_i7:205-2817	622.5	551	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17128at6656	Duplicated	TRINITY_DN1797_c0_g1_i8:119-2863	636.6	558	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17748at6656	Duplicated	TRINITY_DN3433_c0_g2_i1:228-2996	1452.5	743	https://www.orthodb.org/v10?query=17748at6656	AP-2 complex subunit alpha
17748at6656	Duplicated	TRINITY_DN3433_c0_g2_i2:146-2914	1452.5	743	https://www.orthodb.org/v10?query=17748at6656	AP-2 complex subunit alpha
18036at6656	Fragmented	TRINITY_DN18196_c0_g2_i1:59-982	342.9	273	https://www.orthodb.org/v10?query=18036at6656	Homeobox protein cut-like
18055at6656	Complete	TRINITY_DN8040_c0_g1_i1:185-2785	1121.6	648	https://www.orthodb.org/v10?query=18055at6656	AP-1 complex subunit gamma
18073at6656	Complete	TRINITY_DN46936_c0_g1_i1:55-2823	575.2	453	https://www.orthodb.org/v10?query=18073at6656	DNA repair protein REV1
18630at6656	Duplicated	TRINITY_DN532_c0_g1_i1:1-2835	880.5	738	https://www.orthodb.org/v10?query=18630at6656	WASH complex subunit strumpellin
18630at6656	Duplicated	TRINITY_DN532_c0_g1_i4:1-2835	880.3	738	https://www.orthodb.org/v10?query=18630at6656	WASH complex subunit strumpellin
18929at6656	Duplicated	TRINITY_DN6795_c0_g1_i1:441-2663	764.9	585	https://www.orthodb.org/v10?query=18929at6656	Ral guanine nucleotide dissociation stimulator-like 1
18929at6656	Duplicated	TRINITY_DN6795_c0_g1_i3:441-2663	764.9	585	https://www.orthodb.org/v10?query=18929at6656	Ral guanine nucleotide dissociation stimulator-like 1
19044at6656	Missing
19058at6656	Fragmented	TRINITY_DN5159_c0_g1_i2:1004-2668	474.5	532	https://www.orthodb.org/v10?query=19058at6656	probable ATP-dependent RNA helicase DHX34
19104at6656	Duplicated	TRINITY_DN41320_c0_g1_i1:1098-3587	498.1	515	https://www.orthodb.org/v10?query=19104at6656	septin-interacting protein 1
19104at6656	Duplicated	TRINITY_DN41320_c0_g1_i2:53-2542	498.1	515	https://www.orthodb.org/v10?query=19104at6656	septin-interacting protein 1
19104at6656	Duplicated	TRINITY_DN41320_c0_g1_i4:1098-3587	498.1	515	https://www.orthodb.org/v10?query=19104at6656	septin-interacting protein 1
19129at6656	Duplicated	TRINITY_DN3919_c0_g1_i1:55-2400	617.0	556	https://www.orthodb.org/v10?query=19129at6656	Anaphase-promoting complex subunit 2
19129at6656	Duplicated	TRINITY_DN3919_c0_g1_i3:55-2400	617.0	556	https://www.orthodb.org/v10?query=19129at6656	Anaphase-promoting complex subunit 2
19208at6656	Duplicated	TRINITY_DN2542_c0_g1_i10:752-3550	1351.7	850	https://www.orthodb.org/v10?query=19208at6656	pre-mRNA-processing factor 6
19208at6656	Duplicated	TRINITY_DN2542_c0_g1_i11:708-3506	1351.7	850	https://www.orthodb.org/v10?query=19208at6656	pre-mRNA-processing factor 6
19208at6656	Duplicated	TRINITY_DN2542_c0_g1_i4:752-3550	1351.7	850	https://www.orthodb.org/v10?query=19208at6656	pre-mRNA-processing factor 6
19208at6656	Duplicated	TRINITY_DN2542_c0_g1_i5:739-3537	1351.7	850	https://www.orthodb.org/v10?query=19208at6656	pre-mRNA-processing factor 6
19208at6656	Duplicated	TRINITY_DN2542_c0_g1_i6:708-3506	1351.7	850	https://www.orthodb.org/v10?query=19208at6656	pre-mRNA-processing factor 6
19208at6656	Duplicated	TRINITY_DN2542_c0_g1_i8:739-3537	1351.7	850	https://www.orthodb.org/v10?query=19208at6656	pre-mRNA-processing factor 6
19289at6656	Duplicated	TRINITY_DN4183_c0_g1_i1:62-2347	753.4	586	https://www.orthodb.org/v10?query=19289at6656	ATP-dependent RNA helicase DDX54
19289at6656	Duplicated	TRINITY_DN4183_c0_g1_i2:62-2347	753.4	586	https://www.orthodb.org/v10?query=19289at6656	ATP-dependent RNA helicase DDX54
19590at6656	Duplicated	TRINITY_DN3768_c0_g1_i1:536-2461	474.5	336	https://www.orthodb.org/v10?query=19590at6656	WD40-repeat-containing domain
19590at6656	Duplicated	TRINITY_DN3768_c0_g1_i3:554-3037	497.7	378	https://www.orthodb.org/v10?query=19590at6656	WD40-repeat-containing domain
19590at6656	Duplicated	TRINITY_DN3768_c0_g1_i4:554-3037	497.7	378	https://www.orthodb.org/v10?query=19590at6656	WD40-repeat-containing domain
19590at6656	Duplicated	TRINITY_DN3768_c0_g1_i8:554-3037	497.7	378	https://www.orthodb.org/v10?query=19590at6656	WD40-repeat-containing domain
19590at6656	Duplicated	TRINITY_DN3768_c0_g1_i9:554-3097	497.6	378	https://www.orthodb.org/v10?query=19590at6656	WD40-repeat-containing domain
19760at6656	Complete	TRINITY_DN190164_c0_g1_i1:118-3210	935.0	729	https://www.orthodb.org/v10?query=19760at6656	Integrator complex subunit 3
20093at6656	Complete	TRINITY_DN6235_c0_g2_i2:0-2069	201.5	332	https://www.orthodb.org/v10?query=20093at6656	Trafficking protein particle complex subunit 10
20162at6656	Fragmented	TRINITY_DN8679_c0_g1_i1:2-2137	657.8	476	https://www.orthodb.org/v10?query=20162at6656	protein patched
20267at6656	Complete	TRINITY_DN32976_c0_g1_i2:89-2638	775.2	681	https://www.orthodb.org/v10?query=20267at6656	vacuolar protein sorting-associated protein 41 homolog
20935at6656	Complete	TRINITY_DN18515_c0_g1_i1:96-2414	1021.0	614	https://www.orthodb.org/v10?query=20935at6656	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2
20936at6656	Duplicated	TRINITY_DN2880_c0_g1_i1:191-2688	620.1	434	https://www.orthodb.org/v10?query=20936at6656	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
20936at6656	Duplicated	TRINITY_DN2880_c0_g1_i2:188-2797	656.0	485	https://www.orthodb.org/v10?query=20936at6656	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
20936at6656	Duplicated	TRINITY_DN2880_c0_g1_i5:95-2278	657.1	485	https://www.orthodb.org/v10?query=20936at6656	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
21019at6656	Complete	TRINITY_DN7422_c0_g1_i1:151-3888	1259.2	959	https://www.orthodb.org/v10?query=21019at6656	vigilin
21191at6656	Complete	TRINITY_DN19961_c0_g1_i1:75-3134	1121.3	768	https://www.orthodb.org/v10?query=21191at6656	RNA cytidine acetyltransferase
